month,2011,2012,2013,2014,2015,2016\n\
1,21690,16860,24070,27930,10410,6120\n\
2,35960,12930,12930,26880,7200,14390\n\
3,8390,24460,21300,10680,11710,1600\n\
4,26020,21060,47790,14930,7010,3350\n\
5,19490,12330,26870,58530,3390,9900\n\
6,30560,31020,32960,42770,8860,16485\n\
7,34690,32120,62620,29570,17180,16485\n\
8,32250,110140,87210,42190,44290,19810\n\
9,27590,14030,85240,18180,17280,29280\n\
10,22620,48240,76620,76620,33040\n\
11,16960,35020,36260,36260,36000\n\
12,29390,16590,23920,23920,17400\n\
